start test (v3) Wed Nov 28 22:57:33 EST 2018
Wed Nov 28 23:07:46 2018, random_write, p, DRAM, 10, 9771217398
Wed Nov 28 23:07:46 2018, random_write, p, DRAM, 11, 9802060896
Wed Nov 28 23:07:46 2018, random_write, s, /mnt/pmem0/copy-test, 23, 11058828414
Wed Nov 28 23:08:16 2018, backwards_write, p, DRAM, 1, 5666101190
Wed Nov 28 23:08:16 2018, backwards_write, p, DRAM, 2, 7112420750
Wed Nov 28 23:08:16 2018, backwards_write, p, DRAM, 3, 5373100730
Wed Nov 28 23:08:16 2018, backwards_write, p, DRAM, 4, 6850305252
Wed Nov 28 23:08:16 2018, backwards_write, p, DRAM, 5, 5883773430
Wed Nov 28 23:08:16 2018, backwards_write, p, DRAM, 6, 6043268884
Wed Nov 28 23:08:16 2018, backwards_write, p, DRAM, 7, 6469078576
Wed Nov 28 23:08:16 2018, backwards_write, p, DRAM, 8, 7333408524
Wed Nov 28 23:08:16 2018, backwards_write, p, DRAM, 9, 5378649930
Wed Nov 28 23:08:16 2018, backwards_write, p, DRAM, 10, 6278659240
Wed Nov 28 23:08:16 2018, backwards_write, p, DRAM, 11, 6677055952
Wed Nov 28 23:08:16 2018, backwards_write, s, /mnt/pmem0/copy-test, 23, 8112336610
Wed Nov 28 23:08:45 2018, sequential_write, p, DRAM, 1, 1697790714
Wed Nov 28 23:08:45 2018, sequential_write, p, DRAM, 2, 2581159402
Wed Nov 28 23:08:45 2018, sequential_write, p, DRAM, 3, 790154372
Wed Nov 28 23:08:45 2018, sequential_write, p, DRAM, 4, 2343926572
Wed Nov 28 23:08:45 2018, sequential_write, p, DRAM, 5, 1276449156
Wed Nov 28 23:08:45 2018, sequential_write, p, DRAM, 6, 1924838140
Wed Nov 28 23:08:45 2018, sequential_write, p, DRAM, 7, 2125453678
Wed Nov 28 23:08:45 2018, sequential_write, p, DRAM, 8, 2957095780
Wed Nov 28 23:08:45 2018, sequential_write, p, DRAM, 9, 784478072
Wed Nov 28 23:08:45 2018, sequential_write, p, DRAM, 10, 790860118
Wed Nov 28 23:08:45 2018, sequential_write, p, DRAM, 11, 2701682858
Wed Nov 28 23:08:45 2018, sequential_write, p, DRAM, 12, 1507787638
Wed Nov 28 23:08:45 2018, sequential_write, s, /mnt/pmem0/copy-test, 23, 1965078484
Wed Nov 28 23:08:52 2018, random_write, p, DRAM, 1, 9635187192
Wed Nov 28 23:08:52 2018, random_write, p, DRAM, 2, 9720106944
Wed Nov 28 23:08:52 2018, random_write, p, DRAM, 3, 10936128776
Wed Nov 28 23:08:52 2018, random_write, p, DRAM, 4, 9911206648
Wed Nov 28 23:08:52 2018, random_write, p, DRAM, 5, 9854734962
Wed Nov 28 23:08:52 2018, random_write, p, DRAM, 6, 9726051070
Wed Nov 28 23:08:52 2018, random_write, p, DRAM, 7, 9712157022
Wed Nov 28 23:08:52 2018, random_write, p, DRAM, 8, 9740169932
Wed Nov 28 23:08:52 2018, random_write, p, DRAM, 9, 9747318152
Wed Nov 28 23:08:52 2018, random_write, p, DRAM, 10, 9834511948
Wed Nov 28 23:08:52 2018, random_write, p, DRAM, 11, 9887959392
Wed Nov 28 23:08:52 2018, random_write, p, DRAM, 12, 9709270028
Wed Nov 28 23:08:52 2018, random_write, s, /mnt/pmem0/copy-test, 23, 11121188700
Wed Nov 28 23:09:24 2018, backwards_write, p, DRAM, 1, 5847897854
Wed Nov 28 23:09:24 2018, backwards_write, p, DRAM, 2, 7057550826
Wed Nov 28 23:09:24 2018, backwards_write, p, DRAM, 3, 6232283166
Wed Nov 28 23:09:24 2018, backwards_write, p, DRAM, 4, 7503949726
Wed Nov 28 23:09:24 2018, backwards_write, p, DRAM, 5, 6413679930
Wed Nov 28 23:09:24 2018, backwards_write, p, DRAM, 6, 6045616644
Wed Nov 28 23:09:24 2018, backwards_write, p, DRAM, 7, 6633671286
Wed Nov 28 23:09:24 2018, backwards_write, p, DRAM, 8, 7276592726
Wed Nov 28 23:09:24 2018, backwards_write, p, DRAM, 9, 5378070718
Wed Nov 28 23:09:24 2018, backwards_write, p, DRAM, 10, 5378627948
Wed Nov 28 23:09:24 2018, backwards_write, p, DRAM, 11, 6856470044
Wed Nov 28 23:09:24 2018, backwards_write, p, DRAM, 12, 5667999764
Wed Nov 28 23:09:24 2018, backwards_write, s, /mnt/pmem0/copy-test, 23, 8255184308
Wed Nov 28 23:09:55 2018, sequential_write, p, DRAM, 1, 1225182630
Wed Nov 28 23:09:55 2018, sequential_write, p, DRAM, 2, 2636487034
Wed Nov 28 23:09:55 2018, sequential_write, p, DRAM, 3, 797906812
Wed Nov 28 23:09:55 2018, sequential_write, p, DRAM, 4, 2433242700
Wed Nov 28 23:09:55 2018, sequential_write, p, DRAM, 5, 1444859154
Wed Nov 28 23:09:55 2018, sequential_write, p, DRAM, 6, 1609575158
Wed Nov 28 23:09:55 2018, sequential_write, p, DRAM, 7, 1827259974
Wed Nov 28 23:09:55 2018, sequential_write, p, DRAM, 8, 2269234012
Wed Nov 28 23:09:55 2018, sequential_write, p, DRAM, 9, 792923302
Wed Nov 28 23:09:55 2018, sequential_write, p, DRAM, 10, 798882830
