start test Tue Nov 20 22:33:06 EST 2018
Tue Nov 20 22:41:57 2018, backwards_write, DRAM, p, 3, 822822632
Tue Nov 20 22:41:57 2018, backwards_write, DRAM, p, 4, 831506130
Tue Nov 20 22:41:57 2018, backwards_write, DRAM, p, 5, 834391650
Tue Nov 20 22:41:57 2018, backwards_write, DRAM, p, 6, 829748914
Tue Nov 20 22:41:57 2018, backwards_write, DRAM, p, 7, 827323896
Tue Nov 20 22:41:57 2018, backwards_write, DRAM, p, 8, 822608164
Tue Nov 20 22:41:57 2018, backwards_write, DRAM, p, 9, 818048112
Tue Nov 20 22:41:57 2018, backwards_write, DRAM, p, 10, 826841044
Tue Nov 20 22:41:57 2018, backwards_write, DRAM, p, 11, 830522624
Tue Nov 20 22:41:57 2018, backwards_write, DRAM, p, 12, 828921110
Tue Nov 20 22:41:57 2018, backwards_write, DRAM, p, 13, 825842418
Tue Nov 20 22:41:57 2018, backwards_write, /mnt/pmem0/copy-test, s, 23, 2243470274
Tue Nov 20 22:42:02 2018, sequential_write, DRAM, p, 1, 1373851924
Tue Nov 20 22:42:02 2018, sequential_write, DRAM, p, 2, 1216298052
Tue Nov 20 22:42:02 2018, sequential_write, DRAM, p, 3, 1288141838
Tue Nov 20 22:42:02 2018, sequential_write, DRAM, p, 4, 1262504956
Tue Nov 20 22:42:02 2018, sequential_write, DRAM, p, 5, 1404460306
Tue Nov 20 22:42:02 2018, sequential_write, DRAM, p, 6, 1344107642
Tue Nov 20 22:42:02 2018, sequential_write, DRAM, p, 7, 1304505980
Tue Nov 20 22:42:02 2018, sequential_write, DRAM, p, 8, 1226052760
Tue Nov 20 22:42:02 2018, sequential_write, DRAM, p, 9, 1236104320
Tue Nov 20 22:42:02 2018, sequential_write, DRAM, p, 10, 1210252068
Tue Nov 20 22:42:02 2018, sequential_write, DRAM, p, 11, 1261022452
Tue Nov 20 22:42:02 2018, sequential_write, DRAM, p, 12, 1265278586
Tue Nov 20 22:42:02 2018, sequential_write, DRAM, p, 13, 1327374190
Tue Nov 20 22:42:02 2018, sequential_write, DRAM, p, 14, 1208127404
Tue Nov 20 22:42:02 2018, sequential_write, /mnt/pmem0/copy-test, s, 23, 2259540382
Tue Nov 20 22:42:12 2018, random_write, DRAM, p, 1, 9153000610
Tue Nov 20 22:42:12 2018, random_write, DRAM, p, 2, 9229215712
Tue Nov 20 22:42:12 2018, random_write, DRAM, p, 3, 9275958358
Tue Nov 20 22:42:12 2018, random_write, DRAM, p, 4, 9400738230
Tue Nov 20 22:42:12 2018, random_write, DRAM, p, 5, 9430282018
Tue Nov 20 22:42:12 2018, random_write, DRAM, p, 6, 9247988436
Tue Nov 20 22:42:12 2018, random_write, DRAM, p, 7, 9236642450
Tue Nov 20 22:42:12 2018, random_write, DRAM, p, 8, 9269482928
Tue Nov 20 22:42:12 2018, random_write, DRAM, p, 9, 9299218362
Tue Nov 20 22:42:12 2018, random_write, DRAM, p, 10, 9449170960
Tue Nov 20 22:42:12 2018, random_write, DRAM, p, 11, 9488020290
Tue Nov 20 22:42:12 2018, random_write, DRAM, p, 12, 9240150194
Tue Nov 20 22:42:12 2018, random_write, DRAM, p, 13, 9204217626
Tue Nov 20 22:42:12 2018, random_write, DRAM, p, 14, 9257432034
Tue Nov 20 22:42:12 2018, random_write, /mnt/pmem0/copy-test, s, 23, 11427657958
