Mon Nov 19 21:05:42 2018, backwards_write, /mnt/pmem0/copy-test, p, 4, 4591950326
Mon Nov 19 21:05:42 2018, backwards_write, /mnt/pmem0/copy-test, p, 5, 5160225242
Mon Nov 19 21:05:42 2018, backwards_write, /mnt/pmem0/copy-test, p, 6, 5427546236
Mon Nov 19 21:05:42 2018, backwards_write, /mnt/pmem0/copy-test, p, 7, 5027824680
Mon Nov 19 21:05:42 2018, backwards_write, /mnt/pmem0/copy-test, p, 8, 5285990430
Mon Nov 19 21:05:42 2018, backwards_write, /mnt/pmem0/copy-test, p, 9, 4339902424
Mon Nov 19 21:05:42 2018, backwards_write, /mnt/pmem0/copy-test, p, 10, 5698801174
Mon Nov 19 21:05:42 2018, backwards_write, /mnt/pmem0/copy-test, p, 11, 4682380948
Mon Nov 19 21:05:42 2018, backwards_write, /mnt/pmem0/copy-test, p, 12, 4422757448
Mon Nov 19 21:05:42 2018, backwards_write, DRAM, s, 20, 1683814410
Mon Nov 19 21:06:43 2018, sequential_write, /mnt/pmem0/copy-test, p, 1, 4983849406
Mon Nov 19 21:06:43 2018, sequential_write, /mnt/pmem0/copy-test, p, 2, 4928733124
Mon Nov 19 21:06:43 2018, sequential_write, /mnt/pmem0/copy-test, p, 3, 4873330276
Mon Nov 19 21:06:43 2018, sequential_write, /mnt/pmem0/copy-test, p, 4, 5029566204
Mon Nov 19 21:06:43 2018, sequential_write, /mnt/pmem0/copy-test, p, 5, 5052539638
Mon Nov 19 21:06:43 2018, sequential_write, /mnt/pmem0/copy-test, p, 6, 4916744632
Mon Nov 19 21:06:43 2018, sequential_write, /mnt/pmem0/copy-test, p, 7, 5074662204
Mon Nov 19 21:06:43 2018, sequential_write, /mnt/pmem0/copy-test, p, 8, 4882924136
Mon Nov 19 21:06:43 2018, sequential_write, /mnt/pmem0/copy-test, p, 9, 4906165054
Mon Nov 19 21:06:43 2018, sequential_write, /mnt/pmem0/copy-test, p, 10, 4896445668
Mon Nov 19 21:06:43 2018, sequential_write, /mnt/pmem0/copy-test, p, 11, 4964120392
Mon Nov 19 21:06:43 2018, sequential_write, /mnt/pmem0/copy-test, p, 12, 5004043354
Mon Nov 19 21:06:43 2018, sequential_write, /mnt/pmem0/copy-test, p, 13, 4945575722
Mon Nov 19 21:06:43 2018, sequential_write, DRAM, s, 20, 1595474782
Mon Nov 19 21:07:47 2018, random_write, /mnt/pmem0/copy-test, p, 1, 12651489072
Mon Nov 19 21:07:47 2018, random_write, /mnt/pmem0/copy-test, p, 2, 12727148016
Mon Nov 19 21:07:47 2018, random_write, /mnt/pmem0/copy-test, p, 3, 12773514592
Mon Nov 19 21:07:47 2018, random_write, /mnt/pmem0/copy-test, p, 4, 12924999626
