Tue Dec  4 12:45:14 2018, sequential_write, p, /mnt/pmem1/copy-test,2,2359283596
Tue Dec  4 12:45:14 2018, sequential_write, s, DRAM,13,827002498
Tue Dec  4 12:45:24 2018, random_write, p, /mnt/pmem1/copy-test,1,10581733294
Tue Dec  4 12:45:24 2018, random_write, p, /mnt/pmem1/copy-test,2,10673405920
Tue Dec  4 12:45:24 2018, random_write, s, DRAM,13,9436727140
Tue Dec  4 12:45:46 2018, backwards_write, p, /mnt/pmem1/copy-test,1,2682528772
Tue Dec  4 12:45:46 2018, backwards_write, p, /mnt/pmem1/copy-test,2,2402767072
Tue Dec  4 12:45:46 2018, backwards_write, s, DRAM,13,1456858878
Tue Dec  4 12:45:50 2018, sequential_write, p, /mnt/pmem1/copy-test,1,2353197080
Tue Dec  4 12:45:50 2018, sequential_write, p, /mnt/pmem1/copy-test,2,2289048978
Tue Dec  4 12:45:50 2018, sequential_write, s, DRAM,13,917548598
Tue Dec  4 12:45:50 2018, sequential_write, s, DRAM,14,844020152
Tue Dec  4 12:46:00 2018, random_write, p, /mnt/pmem1/copy-test,1,10656417264
Tue Dec  4 12:46:00 2018, random_write, p, /mnt/pmem1/copy-test,2,10751690286
Tue Dec  4 12:46:00 2018, random_write, s, DRAM,13,9109961190
Tue Dec  4 12:46:00 2018, random_write, s, DRAM,14,9445166822
Tue Dec  4 12:46:22 2018, backwards_write, p, /mnt/pmem1/copy-test,1,2551059742
Tue Dec  4 12:46:22 2018, backwards_write, p, /mnt/pmem1/copy-test,2,2702996586
Tue Dec  4 12:46:22 2018, backwards_write, s, DRAM,13,1060634696
Tue Dec  4 12:46:22 2018, backwards_write, s, DRAM,14,1250113256
Tue Dec  4 12:46:26 2018, sequential_write, p, /mnt/pmem1/copy-test,1,2301230536
Tue Dec  4 12:46:26 2018, sequential_write, p, /mnt/pmem1/copy-test,2,2369922290
Tue Dec  4 12:46:26 2018, sequential_write, s, DRAM,13,1023432230
Tue Dec  4 12:46:26 2018, sequential_write, s, DRAM,14,854570910
Tue Dec  4 12:46:26 2018, sequential_write, s, DRAM,15,932001848
Tue Dec  4 12:46:36 2018, random_write, p, /mnt/pmem1/copy-test,1,10677543726
Tue Dec  4 12:46:36 2018, random_write, p, /mnt/pmem1/copy-test,2,10765202218
Tue Dec  4 12:46:36 2018, random_write, s, DRAM,13,8879763020
Tue Dec  4 12:46:36 2018, random_write, s, DRAM,14,9247224512
Tue Dec  4 12:46:36 2018, random_write, s, DRAM,15,9464052834
Tue Dec  4 12:46:58 2018, backwards_write, p, /mnt/pmem1/copy-test,1,2444035620
Tue Dec  4 12:46:58 2018, backwards_write, p, /mnt/pmem1/copy-test,2,2166694630
Tue Dec  4 12:46:58 2018, backwards_write, s, DRAM,13,1050804568
Tue Dec  4 12:46:58 2018, backwards_write, s, DRAM,14,1507463222
Tue Dec  4 12:46:58 2018, backwards_write, s, DRAM,15,1224963688
Tue Dec  4 12:47:02 2018, sequential_write, p, /mnt/pmem1/copy-test,1,2306368954
Tue Dec  4 12:47:02 2018, sequential_write, p, /mnt/pmem1/copy-test,2,2361195128
Tue Dec  4 12:47:02 2018, sequential_write, s, DRAM,13,1032174798
Tue Dec  4 12:47:02 2018, sequential_write, s, DRAM,14,871878598
Tue Dec  4 12:47:02 2018, sequential_write, s, DRAM,15,950146168
Tue Dec  4 12:47:02 2018, sequential_write, s, DRAM,16,1142845106
Tue Dec  4 12:47:12 2018, random_write, p, /mnt/pmem1/copy-test,1,10691670900
Tue Dec  4 12:47:12 2018, random_write, p, /mnt/pmem1/copy-test,2,10779732262
Tue Dec  4 12:47:12 2018, random_write, s, DRAM,13,8900172560
Tue Dec  4 12:47:12 2018, random_write, s, DRAM,14,8962988474
Tue Dec  4 12:47:12 2018, random_write, s, DRAM,15,9357787498
Tue Dec  4 12:47:12 2018, random_write, s, DRAM,16,9642828926
Tue Dec  4 12:47:34 2018, backwards_write, p, /mnt/pmem1/copy-test,1,2327400602
Tue Dec  4 12:47:34 2018, backwards_write, p, /mnt/pmem1/copy-test,2,2154534642
Tue Dec  4 12:47:34 2018, backwards_write, s, DRAM,13,779898724
Tue Dec  4 12:47:34 2018, backwards_write, s, DRAM,14,856767114
Tue Dec  4 12:47:34 2018, backwards_write, s, DRAM,15,1764374802
Tue Dec  4 12:47:34 2018, backwards_write, s, DRAM,16,1398661412
Tue Dec  4 12:47:38 2018, sequential_write, p, /mnt/pmem1/copy-test,1,2295740626
Tue Dec  4 12:47:38 2018, sequential_write, p, /mnt/pmem1/copy-test,2,2361232788
Tue Dec  4 12:47:38 2018, sequential_write, s, DRAM,13,1148949088
Tue Dec  4 12:47:38 2018, sequential_write, s, DRAM,14,948328608
Tue Dec  4 12:47:38 2018, sequential_write, s, DRAM,15,874850130
Tue Dec  4 12:47:38 2018, sequential_write, s, DRAM,16,1050910996
Tue Dec  4 12:47:38 2018, sequential_write, s, DRAM,17,1274791306
Tue Dec  4 12:47:48 2018, random_write, p, /mnt/pmem1/copy-test,1,10712069514
Tue Dec  4 12:47:48 2018, random_write, p, /mnt/pmem1/copy-test,2,10813616818
Tue Dec  4 12:47:48 2018, random_write, s, DRAM,13,8946857556
Tue Dec  4 12:47:48 2018, random_write, s, DRAM,14,8985078510
Tue Dec  4 12:47:48 2018, random_write, s, DRAM,15,8994279094
Tue Dec  4 12:47:48 2018, random_write, s, DRAM,16,9606140862
Tue Dec  4 12:47:48 2018, random_write, s, DRAM,17,9712593308
Tue Dec  4 12:48:10 2018, backwards_write, p, /mnt/pmem1/copy-test,1,2327038656
Tue Dec  4 12:48:10 2018, backwards_write, p, /mnt/pmem1/copy-test,2,2192647170
Tue Dec  4 12:48:10 2018, backwards_write, s, DRAM,13,728581774
Tue Dec  4 12:48:10 2018, backwards_write, s, DRAM,14,858755764
Tue Dec  4 12:48:10 2018, backwards_write, s, DRAM,15,1539945806
Tue Dec  4 12:48:10 2018, backwards_write, s, DRAM,16,959974942
Tue Dec  4 12:48:10 2018, backwards_write, s, DRAM,17,1508319136
Tue Dec  4 12:48:14 2018, sequential_write, p, /mnt/pmem1/copy-test,1,2360397818
Tue Dec  4 12:48:14 2018, sequential_write, p, /mnt/pmem1/copy-test,2,2305447948
Tue Dec  4 12:48:14 2018, sequential_write, s, DRAM,13,1074692124
Tue Dec  4 12:48:14 2018, sequential_write, s, DRAM,14,901370540
Tue Dec  4 12:48:14 2018, sequential_write, s, DRAM,15,983317958
Tue Dec  4 12:48:14 2018, sequential_write, s, DRAM,16,1297809042
Tue Dec  4 12:48:14 2018, sequential_write, s, DRAM,17,1183909368
Tue Dec  4 12:48:14 2018, sequential_write, s, DRAM,18,1420852914
Tue Dec  4 12:48:24 2018, random_write, p, /mnt/pmem1/copy-test,1,10731493924
Tue Dec  4 12:48:24 2018, random_write, p, /mnt/pmem1/copy-test,2,10836994436
Tue Dec  4 12:48:24 2018, random_write, s, DRAM,13,8953154874
Tue Dec  4 12:48:24 2018, random_write, s, DRAM,14,9007415184
Tue Dec  4 12:48:24 2018, random_write, s, DRAM,15,9012894718
Tue Dec  4 12:48:24 2018, random_write, s, DRAM,16,9187923550
Tue Dec  4 12:48:24 2018, random_write, s, DRAM,17,9836638884
