start test (v4) Thu Nov 29 17:41:33 EST 2018
Thu Nov 29 17:55:09 2018, backwards_write, p, DRAM, 3, 5374440692
Thu Nov 29 17:55:09 2018, backwards_write, p, DRAM, 4, 5374052888
Thu Nov 29 17:55:09 2018, backwards_write, p, DRAM, 5, 5375681824
Thu Nov 29 17:55:09 2018, backwards_write, p, DRAM, 6, 5376969122
Thu Nov 29 17:55:09 2018, backwards_write, p, DRAM, 7, 5371118024
Thu Nov 29 17:55:09 2018, backwards_write, p, DRAM, 8, 5376384504
Thu Nov 29 17:55:09 2018, backwards_write, p, DRAM, 9, 5373172680
Thu Nov 29 17:55:09 2018, backwards_write, p, DRAM, 10, 5374594516
Thu Nov 29 17:55:09 2018, backwards_write, p, DRAM, 11, 5375359646
Thu Nov 29 17:55:09 2018, backwards_write, p, DRAM, 12, 5376443554
Thu Nov 29 17:55:09 2018, backwards_write, p, DRAM, 13, 5375992406
Thu Nov 29 17:55:09 2018, backwards_write, s, /mnt/pmem1/copy-test, 23, 8711691020
Thu Nov 29 17:55:42 2018, sequential_write, p, DRAM, 1, 848847842
Thu Nov 29 17:55:42 2018, sequential_write, p, DRAM, 2, 845852296
Thu Nov 29 17:55:42 2018, sequential_write, p, DRAM, 3, 847884580
Thu Nov 29 17:55:42 2018, sequential_write, p, DRAM, 4, 852478594
Thu Nov 29 17:55:42 2018, sequential_write, p, DRAM, 5, 854825624
Thu Nov 29 17:55:42 2018, sequential_write, p, DRAM, 6, 850624646
Thu Nov 29 17:55:42 2018, sequential_write, p, DRAM, 7, 849061432
Thu Nov 29 17:55:42 2018, sequential_write, p, DRAM, 8, 844319674
Thu Nov 29 17:55:42 2018, sequential_write, p, DRAM, 9, 843416604
Thu Nov 29 17:55:42 2018, sequential_write, p, DRAM, 10, 849475154
Thu Nov 29 17:55:42 2018, sequential_write, p, DRAM, 11, 850010114
Thu Nov 29 17:55:42 2018, sequential_write, p, DRAM, 12, 850923454
Thu Nov 29 17:55:42 2018, sequential_write, p, DRAM, 13, 847885966
Thu Nov 29 17:55:42 2018, sequential_write, p, DRAM, 14, 839743494
Thu Nov 29 17:55:42 2018, sequential_write, s, /mnt/pmem1/copy-test, 23, 2387865118
Thu Nov 29 17:55:50 2018, random_write, p, DRAM, 1, 9806145878
Thu Nov 29 17:55:50 2018, random_write, p, DRAM, 2, 9856241310
Thu Nov 29 17:55:50 2018, random_write, p, DRAM, 3, 9890793492
Thu Nov 29 17:55:50 2018, random_write, p, DRAM, 4, 9971909436
Thu Nov 29 17:55:50 2018, random_write, p, DRAM, 5, 10000173008
Thu Nov 29 17:55:50 2018, random_write, p, DRAM, 6, 9887421032
Thu Nov 29 17:55:50 2018, random_write, p, DRAM, 7, 9879095106
Thu Nov 29 17:55:50 2018, random_write, p, DRAM, 8, 9891280134
Thu Nov 29 17:55:50 2018, random_write, p, DRAM, 9, 9891699656
Thu Nov 29 17:55:50 2018, random_write, p, DRAM, 10, 9995240998
Thu Nov 29 17:55:50 2018, random_write, p, DRAM, 11, 10024222460
Thu Nov 29 17:55:50 2018, random_write, p, DRAM, 12, 9879872514
Thu Nov 29 17:55:50 2018, random_write, p, DRAM, 13, 9844654438
Thu Nov 29 17:55:50 2018, random_write, p, DRAM, 14, 9867873006
Thu Nov 29 17:55:50 2018, random_write, s, /mnt/pmem1/copy-test, 23, 11646869152
